op[0][1][14]=Max([0][2][14]:0.000000	[0][3][14]:0.000000	[1][2][14]:0.000000	[1][3][14]:0.000000)=0.000000
op[0][1][15]=Max([0][2][15]:0.000000	[0][3][15]:0.000000	[1][2][15]:0.000000	[1][3][15]:0.000000)=0.000000
op[0][1][16]=Max([0][2][16]:0.040415	[0][3][16]:0.040415	[1][2][16]:0.040415	[1][3][16]:0.040415)=0.040415
op[0][1][17]=Max([0][2][17]:0.000000	[0][3][17]:0.000000	[1][2][17]:0.000000	[1][3][17]:0.000000)=0.000000
op[0][1][18]=Max([0][2][18]:0.000000	[0][3][18]:0.000000	[1][2][18]:0.000000	[1][3][18]:0.000000)=0.000000
op[0][1][19]=Max([0][2][19]:0.001898	[0][3][19]:0.001898	[1][2][19]:0.001898	[1][3][19]:0.001898)=0.001898
op[0][1][20]=Max([0][2][20]:0.000000	[0][3][20]:0.000000	[1][2][20]:0.000000	[1][3][20]:0.000000)=0.000000
op[0][1][21]=Max([0][2][21]:0.000000	[0][3][21]:0.000000	[1][2][21]:0.000000	[1][3][21]:0.000000)=0.000000
op[0][1][22]=Max([0][2][22]:0.000000	[0][3][22]:0.000000	[1][2][22]:0.000000	[1][3][22]:0.000000)=0.000000
op[0][1][23]=Max([0][2][23]:0.000000	[0][3][23]:0.000000	[1][2][23]:0.000000	[1][3][23]:0.000000)=0.000000
op[0][1][24]=Max([0][2][24]:0.000000	[0][3][24]:0.000000	[1][2][24]:0.000000	[1][3][24]:0.000000)=0.000000
op[0][1][25]=Max([0][2][25]:0.000000	[0][3][25]:0.000000	[1][2][25]:0.000000	[1][3][25]:0.000000)=0.000000
op[0][1][26]=Max([0][2][26]:0.000000	[0][3][26]:0.000000	[1][2][26]:0.000000	[1][3][26]:0.000000)=0.000000
op[0][1][27]=Max([0][2][27]:0.000000	[0][3][27]:0.000000	[1][2][27]:0.000000	[1][3][27]:0.000000)=0.000000
op[0][1][28]=Max([0][2][28]:0.000000	[0][3][28]:0.000000	[1][2][28]:0.000000	[1][3][28]:0.000000)=0.000000
op[0][1][29]=Max([0][2][29]:0.000000	[0][3][29]:0.000000	[1][2][29]:0.000000	[1][3][29]:0.000000)=0.000000
op[0][1][30]=Max([0][2][30]:0.000000	[0][3][30]:0.000000	[1][2][30]:0.000000	[1][3][30]:0.000000)=0.000000
op[0][1][31]=Max([0][2][31]:0.000000	[0][3][31]:0.000000	[1][2][31]:0.000000	[1][3][31]:0.000000)=0.000000
op[0][2][0]=Max([0][4][0]:0.000000	[0][5][0]:0.000000	[1][4][0]:0.000000	[1][5][0]:0.000000)=0.000000
op[0][2][1]=Max([0][4][1]:0.000000	[0][5][1]:0.000000	[1][4][1]:0.000000	[1][5][1]:0.000000)=0.000000
op[0][2][2]=Max([0][4][2]:0.000000	[0][5][2]:0.000000	[1][4][2]:0.000000	[1][5][2]:0.000000)=0.000000
op[0][2][3]=Max([0][4][3]:0.000000	[0][5][3]:0.000000	[1][4][3]:0.000000	[1][5][3]:0.000000)=0.000000
op[0][2][4]=Max([0][4][4]:0.000000	[0][5][4]:0.000000	[1][4][4]:0.000000	[1][5][4]:0.000000)=0.000000
op[0][2][5]=Max([0][4][5]:0.000000	[0][5][5]:0.000000	[1][4][5]:0.000000	[1][5][5]:0.000000)=0.000000
op[0][2][6]=Max([0][4][6]:0.068489	[0][5][6]:0.068489	[1][4][6]:0.068489	[1][5][6]:0.068489)=0.068489
op[0][2][7]=Max([0][4][7]:0.000000	[0][5][7]:0.000000	[1][4][7]:0.000000	[1][5][7]:0.000000)=0.000000
op[0][2][8]=Max([0][4][8]:0.000000	[0][5][8]:0.000000	[1][4][8]:0.000000	[1][5][8]:0.000000)=0.000000
op[0][2][9]=Max([0][4][9]:0.015651	[0][5][9]:0.015651	[1][4][9]:0.015651	[1][5][9]:0.015651)=0.015651
op[0][2][10]=Max([0][4][10]:0.000000	[0][5][10]:0.000000	[1][4][10]:0.000000	[1][5][10]:0.000000)=0.000000
op[0][2][11]=Max([0][4][11]:0.000000	[0][5][11]:0.000000	[1][4][11]:0.000000	[1][5][11]:0.000000)=0.000000
op[0][2][12]=Max([0][4][12]:0.000000	[0][5][12]:0.000000	[1][4][12]:0.000000	[1][5][12]:0.000000)=0.000000
op[0][2][13]=Max([0][4][13]:0.000000	[0][5][13]:0.000000	[1][4][13]:0.000000	[1][5][13]:0.000000)=0.000000
